seconds,FHR,UC,FHR_GPR,UC_GPR
0,151.5,5.5,151.5,5.5
1,151.0,5.0,151.0,5.0
2,151.0,4.5,151.0,4.5
3,149.75,4.5,149.75,4.5
4,146.25,5.0,146.25,5.0
5,146.25,5.0,146.25,5.0
6,143.0,5.0,143.0,5.0
7,143.0,4.5,143.0,4.5
8,139.25,4.5,139.25,4.5
9,132.0,4.5,132.0,4.5
10,132.0,4.5,132.0,4.5
11,132.0,4.5,132.0,4.5
12,124.75,5.0,124.75,5.0
13,124.75,4.5,124.75,4.5
14,122.0,4.0,122.0,4.0
15,122.0,4.0,122.0,4.0
16,122.75,4.0,122.75,4.0
17,122.75,4.0,122.75,4.0
18,124.5,4.5,124.5,4.5
19,124.5,4.5,124.5,4.5
20,124.5,4.0,124.5,4.0
21,124.25,4.0,124.25,4.0
22,124.25,4.0,124.25,4.0
23,124.25,4.0,124.25,4.0
24,124.25,4.0,124.25,4.0
25,124.25,4.0,124.25,4.0
26,137.25,4.0,137.25,4.0
27,137.5,4.0,137.5,4.0
28,137.5,4.0,137.5,4.0
29,136.5,4.0,136.5,4.0
30,136.5,4.5,136.5,4.5
31,136.25,4.5,136.25,4.5
32,136.25,4.5,136.25,4.5
33,135.0,4.0,135.0,4.0
34,134.5,4.0,134.5,4.0
35,134.5,4.0,134.5,4.0
36,134.5,4.0,134.5,4.0
37,132.75,4.5,132.75,4.5
38,133.5,4.5,133.5,4.5
39,133.5,4.5,133.5,4.5
40,133.0,4.0,133.0,4.0
41,133.0,4.0,133.0,4.0
42,133.25,4.0,133.25,4.0
43,133.25,4.5,133.25,4.5
44,131.75,4.5,131.75,4.5
45,131.75,4.5,131.75,4.5
46,131.75,4.0,131.75,4.0
47,133.0,4.0,133.0,4.0
48,133.0,4.0,133.0,4.0
49,133.5,4.5,133.5,4.5
50,133.5,4.5,133.5,4.5
51,134.25,4.5,134.25,4.5
52,134.25,4.5,134.25,4.5
53,134.5,4.5,134.5,4.5
54,134.75,4.5,134.75,4.5
55,134.75,5.0,134.75,5.0
56,134.5,4.5,134.5,4.5
57,134.5,4.5,134.5,4.5
58,135.25,4.5,135.25,4.5
59,135.25,4.5,135.25,4.5
60,134.25,4.5,134.25,4.5
61,134.25,5.0,134.25,5.0
62,131.75,4.5,131.75,4.5
63,131.75,4.5,131.75,4.5
64,130.25,4.5,130.25,4.5
65,132.75,4.5,132.75,4.5
66,132.75,4.5,132.75,4.5
67,135.0,4.0,135.0,4.0
68,135.0,4.0,135.0,4.0
69,136.5,4.0,136.5,4.0
70,137.5,4.0,137.5,4.0
71,137.5,4.0,137.5,4.0
72,138.5,4.0,138.5,4.0
73,138.5,3.5,138.5,3.5
74,143.25,4.0,143.25,4.0
75,146.5,4.0,146.5,4.0
76,146.5,4.0,146.5,4.0
77,149.0,4.0,149.0,4.0
78,146.75,4.0,146.75,4.0
79,146.75,4.0,146.75,4.0
80,148.0,4.0,148.0,4.0
81,148.0,4.0,148.0,4.0
82,145.5,4.0,145.5,4.0
83,145.5,4.0,145.5,4.0
84,139.75,4.0,139.75,4.0
85,136.5,4.0,136.5,4.0
86,136.5,4.0,136.5,4.0
87,143.75,4.0,143.75,4.0
88,143.75,4.0,143.75,4.0
89,145.75,4.0,145.75,4.0
90,145.75,4.0,145.75,4.0
91,143.25,4.0,143.25,4.0
92,143.25,4.0,143.25,4.0
93,139.5,4.0,139.5,4.0
94,139.5,4.5,139.5,4.5
95,133.5,4.5,133.5,4.5
96,133.5,4.5,133.5,4.5
97,132.75,4.0,132.75,4.0
98,132.75,4.0,132.75,4.0
99,132.0,4.0,132.0,4.0
100,132.0,4.5,132.0,4.5
101,131.25,4.5,131.25,4.5
102,132.0,4.5,132.0,4.5
103,132.0,4.5,132.0,4.5
104,135.0,4.5,135.0,4.5
105,135.0,4.5,135.0,4.5
106,156.25,4.5,156.25,4.5
107,156.25,4.5,156.25,4.5
108,156.5,4.5,156.5,4.5
109,156.25,4.5,156.25,4.5
110,156.25,4.5,156.25,4.5
111,156.25,4.5,156.25,4.5
112,154.75,4.5,154.75,4.5
113,155.25,4.5,155.25,4.5
114,155.25,4.5,155.25,4.5
115,154.5,4.5,154.5,4.5
116,152.5,4.5,152.5,4.5
117,152.5,4.5,152.5,4.5
118,147.0,4.5,147.0,4.5
119,147.0,4.5,147.0,4.5
120,138.25,4.5,138.25,4.5
121,138.75,4.5,138.75,4.5
122,138.75,4.5,138.75,4.5
123,139.5,4.5,139.5,4.5
124,139.5,4.5,139.5,4.5
125,140.5,4.5,140.5,4.5
126,140.75,4.5,140.75,4.5
127,140.75,4.5,140.75,4.5
128,140.25,4.5,140.25,4.5
129,140.25,4.5,140.25,4.5
130,141.0,4.5,141.0,4.5
131,141.0,4.5,141.0,4.5
132,143.0,4.5,143.0,4.5
133,144.25,4.5,144.25,4.5
134,144.25,4.5,144.25,4.5
135,144.75,4.5,144.75,4.5
136,144.5,4.5,144.5,4.5
137,144.5,4.5,144.5,4.5
138,145.0,4.5,145.0,4.5
139,145.0,4.5,145.0,4.5
140,145.75,4.5,145.75,4.5
141,145.5,4.5,145.5,4.5
142,145.5,4.5,145.5,4.5
143,146.0,4.5,146.0,4.5
144,146.0,5.0,146.0,5.0
145,146.25,5.0,146.25,5.0
146,147.25,5.0,147.25,5.0
147,147.25,5.0,147.25,5.0
148,148.0,5.0,148.0,5.0
149,148.0,5.0,148.0,5.0
150,147.5,5.0,147.5,5.0
151,148.75,5.0,148.75,5.0
152,148.75,5.0,148.75,5.0
153,148.5,5.5,148.5,5.5
154,150.75,5.0,150.75,5.0
155,150.75,5.0,150.75,5.0
156,149.5,5.0,149.5,5.0
157,149.5,5.0,149.5,5.0
158,147.5,5.0,147.5,5.0
159,148.5,5.0,148.5,5.0
160,148.5,5.0,148.5,5.0
161,148.25,5.5,148.25,5.5
162,148.0,5.5,148.0,5.5
163,148.0,5.5,148.0,5.5
164,148.5,5.5,148.5,5.5
165,148.5,5.5,148.5,5.5
166,149.0,5.5,149.0,5.5
167,149.5,5.5,149.5,5.5
168,149.5,6.0,149.5,6.0
169,149.25,6.0,149.25,6.0
170,150.75,6.0,150.75,6.0
171,150.75,6.0,150.75,6.0
172,150.5,6.0,150.5,6.0
173,150.5,6.0,150.5,6.0
174,150.0,6.5,150.0,6.5
175,150.75,6.5,150.75,6.5
176,150.75,6.5,150.75,6.5
177,150.25,6.5,150.25,6.5
178,149.0,6.5,149.0,6.5
179,149.0,6.5,149.0,6.5
180,148.25,6.5,148.25,6.5
181,148.25,6.5,148.25,6.5
182,146.75,6.5,146.75,6.5
183,145.25,6.5,145.25,6.5
184,145.25,6.5,145.25,6.5
185,145.0,6.5,145.0,6.5
186,145.0,6.5,145.0,6.5
187,146.5,6.5,146.5,6.5
188,145.25,6.5,145.25,6.5
189,145.25,6.5,145.25,6.5
190,146.5,6.5,146.5,6.5
191,146.5,6.5,146.5,6.5
192,148.5,6.5,148.5,6.5
193,149.25,6.5,149.25,6.5
194,149.25,6.5,149.25,6.5
195,150.5,6.5,150.5,6.5
196,150.75,7.0,150.75,7.0
197,150.75,6.5,150.75,6.5
198,152.0,6.5,152.0,6.5
199,150.5,6.5,150.5,6.5
200,150.5,7.0,150.5,7.0
201,152.75,7.0,152.75,7.0
202,152.75,7.0,152.75,7.0
203,149.5,7.0,149.5,7.0
204,148.25,7.0,148.25,7.0
205,148.25,7.0,148.25,7.0
206,150.75,7.0,150.75,7.0
207,150.75,7.0,150.75,7.0
208,146.75,7.0,146.75,7.0
209,144.75,7.5,144.75,7.5
210,144.75,7.5,144.75,7.5
211,140.75,7.5,140.75,7.5
212,140.75,7.5,140.75,7.5
213,142.0,8.0,142.0,8.0
214,141.75,7.5,141.75,7.5
215,141.75,8.0,141.75,8.0
216,140.25,7.5,140.25,7.5
217,140.25,7.5,140.25,7.5
218,138.5,8.0,138.5,8.0
219,138.5,8.0,138.5,8.0
220,139.0,8.0,139.0,8.0
221,140.25,8.0,140.25,8.0
222,140.25,8.0,140.25,8.0
223,140.75,8.0,140.75,8.0
224,140.75,8.0,140.75,8.0
225,142.75,8.0,142.75,8.0
226,146.75,8.0,146.75,8.0
227,146.75,8.0,146.75,8.0
228,147.25,8.0,147.25,8.0
229,147.25,8.0,147.25,8.0
230,147.25,8.0,147.25,8.0
231,149.25,8.0,149.25,8.0
232,149.25,8.0,149.25,8.0
233,150.75,8.0,150.75,8.0
234,152.75,8.0,152.75,8.0
235,152.75,8.0,152.75,8.0
236,148.0,8.0,148.0,8.0
237,148.75,8.0,148.75,8.0
238,148.75,8.0,148.75,8.0
239,148.5,8.0,148.5,8.0
240,148.5,8.5,148.5,8.5
241,147.75,8.5,147.75,8.5
242,144.25,8.5,144.25,8.5
243,144.25,8.5,144.25,8.5
244,140.25,8.5,140.25,8.5
245,140.25,8.5,140.25,8.5
246,141.0,8.5,141.0,8.5
247,141.0,8.5,141.0,8.5
248,141.25,8.5,141.25,8.5
249,141.75,8.5,141.75,8.5
250,141.75,8.5,141.75,8.5
251,143.0,9.0,143.0,9.0
252,146.0,9.0,146.0,9.0
253,146.0,9.0,146.0,9.0
254,149.5,9.0,149.5,9.0
255,149.5,9.0,149.5,9.0
256,151.25,9.0,151.25,9.0
257,152.0,9.0,152.0,9.0
258,152.0,9.0,152.0,9.0
259,154.0,9.5,154.0,9.5
260,152.5,9.0,152.5,9.0
261,152.5,9.0,152.5,9.0
262,153.5,9.0,153.5,9.0
263,153.0,8.5,153.0,8.5
264,153.0,8.5,153.0,8.5
265,152.75,9.0,152.75,9.0
266,152.75,9.0,152.75,9.0
267,151.0,9.0,151.0,9.0
268,150.0,9.0,150.0,9.0
269,150.0,8.5,150.0,8.5
270,148.75,8.5,148.75,8.5
271,148.75,8.5,148.75,8.5
272,147.75,8.5,147.75,8.5
273,147.0,9.0,147.0,9.0
274,147.0,9.0,147.0,9.0
275,147.75,9.0,147.75,9.0
276,148.75,9.0,148.75,9.0
277,148.75,9.0,148.75,9.0
278,149.75,9.0,149.75,9.0
279,149.75,9.0,149.75,9.0
280,149.75,9.0,149.75,9.0
281,150.5,9.0,150.5,9.0
282,150.5,9.0,150.5,9.0
283,152.25,9.5,152.25,9.5
284,154.25,9.5,154.25,9.5
285,154.25,9.0,154.25,9.0
286,155.75,9.0,155.75,9.0
287,155.5,9.0,155.5,9.0
288,155.5,9.0,155.5,9.0
289,155.0,9.0,155.0,9.0
290,153.25,9.0,153.25,9.0
291,153.25,9.0,153.25,9.0
292,152.75,9.0,152.75,9.0
293,152.75,9.0,152.75,9.0
294,152.25,9.0,152.25,9.0
295,152.5,9.0,152.5,9.0
296,152.5,9.0,152.5,9.0
297,152.75,9.0,152.75,9.0
298,153.5,9.0,153.5,9.0
299,153.5,9.0,153.5,9.0
300,154.5,9.0,154.5,9.0
301,154.25,9.5,154.25,9.5
302,154.25,9.5,154.25,9.5
303,154.0,9.5,154.0,9.5
304,154.25,9.5,154.25,9.5
305,154.25,9.5,154.25,9.5
306,153.25,9.0,153.25,9.0
307,153.25,9.0,153.25,9.0
308,153.0,9.0,153.0,9.0
309,152.25,9.0,152.25,9.0
310,152.25,9.5,152.25,9.5
311,153.5,9.0,153.5,9.0
312,155.0,9.5,155.0,9.5
313,155.0,9.5,155.0,9.5
314,155.25,9.5,155.25,9.5
315,156.5,9.5,156.5,9.5
316,156.5,9.5,156.5,9.5
317,157.0,9.5,157.0,9.5
318,157.0,9.5,157.0,9.5
319,157.0,9.5,157.0,9.5
320,156.75,10.0,156.75,10.0
321,155.5,10.0,155.5,10.0
322,155.5,10.0,155.5,10.0
323,155.75,10.0,155.75,10.0
324,155.5,10.0,155.5,10.0
325,155.5,10.0,155.5,10.0
326,155.75,10.0,155.75,10.0
327,155.75,10.0,155.75,10.0
328,156.25,10.0,156.25,10.0
329,156.0,10.0,156.0,10.0
330,156.0,10.0,156.0,10.0
331,154.75,10.0,154.75,10.0
332,154.0,10.0,154.0,10.0
333,154.0,10.0,154.0,10.0
334,154.5,10.0,154.5,10.0
335,155.5,10.0,155.5,10.0
336,155.5,10.0,155.5,10.0
337,156.0,10.0,156.0,10.0
338,156.0,10.0,156.0,10.0
339,156.0,10.0,156.0,10.0
340,155.25,10.0,155.25,10.0
341,155.5,10.0,155.5,10.0
342,155.5,10.0,155.5,10.0
343,155.5,10.0,155.5,10.0
344,155.25,10.0,155.25,10.0
345,155.25,10.0,155.25,10.0
346,155.0,10.5,155.0,10.5
347,155.0,10.5,155.0,10.5
348,155.25,10.5,155.25,10.5
349,154.5,10.5,154.5,10.5
350,154.5,10.5,154.5,10.5
351,155.25,10.5,155.25,10.5
352,155.75,10.5,155.75,10.5
353,155.75,10.5,155.75,10.5
354,156.75,10.0,156.75,10.0
355,156.0,10.0,156.0,10.0
356,156.0,10.0,156.0,10.0
357,154.75,10.0,154.75,10.0
358,156.0,10.0,156.0,10.0
359,156.0,10.0,156.0,10.0
360,155.25,10.0,155.25,10.0
361,154.0,10.0,154.0,10.0
362,154.0,10.0,154.0,10.0
363,153.5,10.0,153.5,10.0
364,153.5,10.0,153.5,10.0
365,153.0,10.0,153.0,10.0
366,153.75,10.0,153.75,10.0
367,153.75,10.5,153.75,10.5
368,153.75,10.5,153.75,10.5
369,154.0,10.5,154.0,10.5
370,154.0,10.5,154.0,10.5
371,154.75,10.5,154.75,10.5
372,155.25,10.5,155.25,10.5
373,155.25,10.5,155.25,10.5
374,157.25,10.5,157.25,10.5
375,158.25,10.5,158.25,10.5
376,158.25,10.5,158.25,10.5
377,158.0,10.5,158.0,10.5
378,158.0,10.5,158.0,10.5
379,158.0,10.5,158.0,10.5
380,158.75,10.5,158.75,10.5
381,157.75,10.5,157.75,10.5
382,157.75,10.5,157.75,10.5
383,158.25,10.5,158.25,10.5
384,159.5,10.5,159.5,10.5
385,159.5,11.0,159.5,11.0
386,160.5,10.5,160.5,10.5
387,159.5,10.5,159.5,10.5
388,159.5,10.5,159.5,10.5
389,159.5,10.5,159.5,10.5
390,160.5,10.5,160.5,10.5
391,160.5,10.5,160.5,10.5
392,161.25,10.5,161.25,10.5
393,162.5,10.5,162.5,10.5
394,162.5,10.5,162.5,10.5
395,163.5,10.5,163.5,10.5
396,163.75,10.5,163.75,10.5
397,163.75,10.5,163.75,10.5
398,163.25,10.5,163.25,10.5
399,162.25,10.5,162.25,10.5
400,162.25,11.0,162.25,11.0
401,160.5,11.0,160.5,11.0
402,158.25,11.0,158.25,11.0
403,158.25,11.0,158.25,11.0
404,158.25,11.0,158.25,11.0
405,157.75,11.0,157.75,11.0
406,157.75,11.0,157.75,11.0
407,156.75,11.0,156.75,11.0
408,155.5,11.0,155.5,11.0
409,155.5,11.0,155.5,11.0
410,155.25,11.0,155.25,11.0
411,155.25,11.0,155.25,11.0
412,153.75,11.0,153.75,11.0
413,156.0,11.0,156.0,11.0
414,156.0,10.5,156.0,10.5
415,155.25,10.5,155.25,10.5
416,155.5,10.5,155.5,10.5
417,155.5,10.5,155.5,10.5
418,156.5,11.0,156.5,11.0
419,157.75,11.0,157.75,11.0
420,157.75,10.5,157.75,10.5
421,158.25,10.5,158.25,10.5
422,159.0,10.5,159.0,10.5
423,159.0,10.5,159.0,10.5
424,158.75,10.5,158.75,10.5
425,158.0,10.5,158.0,10.5
426,158.0,10.5,158.0,10.5
427,159.25,10.5,159.25,10.5
428,159.25,10.5,159.25,10.5
429,157.0,10.5,157.0,10.5
430,157.0,10.5,157.0,10.5
431,158.25,10.0,158.25,10.0
432,158.0,10.0,158.0,10.0
433,158.0,10.5,158.0,10.5
434,158.5,10.5,158.5,10.5
435,158.5,10.5,158.5,10.5
436,157.5,10.5,157.5,10.5
437,158.5,10.5,158.5,10.5
438,158.5,10.5,158.5,10.5
439,160.0,10.5,160.0,10.5
440,160.75,10.5,160.75,10.5
441,160.75,10.0,160.75,10.0
442,160.75,10.5,160.75,10.5
443,161.5,10.5,161.5,10.5
444,162.5,10.5,162.5,10.5
445,162.5,10.5,162.5,10.5
446,163.25,10.5,163.25,10.5
447,164.0,11.0,164.0,11.0
448,164.0,10.5,164.0,10.5
449,164.25,10.5,164.25,10.5
450,164.25,10.5,164.25,10.5
451,164.25,10.5,164.25,10.5
452,163.5,11.0,163.5,11.0
453,164.0,11.0,164.0,11.0
454,164.0,11.0,164.0,11.0
455,162.75,10.5,162.75,10.5
456,162.25,10.5,162.25,10.5
457,162.25,10.5,162.25,10.5
458,161.25,10.5,161.25,10.5
459,161.25,10.5,161.25,10.5
460,161.0,10.5,161.0,10.5
461,161.0,11.0,161.0,11.0
462,160.25,10.5,160.25,10.5
463,161.25,10.5,161.25,10.5
464,162.25,10.5,162.25,10.5
465,162.25,10.5,162.25,10.5
466,163.5,10.5,163.5,10.5
467,164.5,10.5,164.5,10.5
468,164.5,10.5,164.5,10.5
469,164.0,10.5,164.0,10.5
470,164.0,10.5,164.0,10.5
471,164.0,11.0,164.0,11.0
472,162.25,11.0,162.25,11.0
