seconds,FHR,UC,FHR_GPR,UC_GPR
0,123.0,1.0,123.0,1.0
1,123.0,0.0,123.0,1.276231911177156
2,123.0,0.0,123.0,1.9239657486601889
3,121.75,0.0,121.75,2.6961329518208963
4,127.25,0.0,127.25,3.219211288261585
5,127.25,0.0,127.25,3.225082807881959
6,128.0,0.0,128.0,2.6727766707347183
7,128.0,0.0,128.0,1.77943864065855
8,130.25,0.0,130.25,0.9260260194217835
9,130.25,0.0,130.25,0.4618084677866481
10,129.75,0.0,129.75,0.5052223817689345
11,132.0,0.5,132.0,0.5
12,132.0,1.5,132.0,1.5
13,131.25,1.5,131.25,1.5
14,131.25,0.5,131.25,0.5
15,132.5,0.0,132.5,0.475535880422024
16,132.5,0.0,132.5,0.36691666920748744
17,130.75,0.0,130.75,0.7250948317199395
18,130.75,0.0,130.75,1.4480838114707
19,130.75,0.0,130.75,2.232262428628596
20,131.75,0.0,131.75,2.7663353627894125
21,131.75,0.0,131.75,2.8949808352102435
22,130.0,0.0,130.0,2.658380157092619
23,130.0,0.0,130.0,2.214813445633842
24,131.5,0.0,131.5,1.72743011473744
25,131.5,1.0,131.5,1.0
26,130.75,1.5,130.75,1.5
27,130.75,0.5,130.75,0.5
28,131.75,0.0,131.75,0.8717765833815783
29,132.0,0.0,132.0,1.1316197126995213
30,132.0,0.0,132.0,1.5227698835269265
31,132.0,0.0,132.0,1.874277069158083
32,132.0,0.0,132.0,2.004560976301855
33,132.0,0.0,132.0,1.8293924053883899
34,132.0,0.0,132.0,1.4218004044700274
35,132.0,0.0,132.0,0.9785074513466778
36,131.75,0.0,131.75,0.7157909901685411
37,131.75,0.5,131.75,0.5
38,131.75,1.5,131.75,1.5
39,132.0,1.5,132.0,1.5
40,132.0,0.0,132.0,2.3396878868991724
41,132.0,0.0,132.0,2.8624776479163705
42,0.0,0.0,130.41168366248067,3.1146566855230287
43,0.0,0.0,128.709099105721,2.979855095661338
44,0.0,0.0,126.32515290742569,2.443216083167054
45,0.0,0.0,123.32035064277612,1.6429914032428172
46,0.0,0.0,119.86576056786308,0.8549923109609026
47,0.0,0.0,116.23482339569367,0.37998551052315044
48,0.0,0.0,112.7746703723115,0.3822434484021162
49,0.0,0.5,109.85955875974439,0.5
50,0.0,1.5,107.8331108681659,1.5
51,0.0,2.0,106.94932128498314,2.0
52,0.0,1.5,107.32388197614019,1.5
53,0.0,0.0,108.9065881613198,1.6022444463492445
54,0.0,0.0,111.4822149842874,1.263032195374044
55,115.75,0.0,115.75,0.8460730055309131
56,115.75,0.0,115.75,0.33432356568791377
57,115.75,0.0,115.75,-0.2783445655912242
58,130.0,0.0,130.0,-0.855668121499507
59,130.0,0.0,130.0,-1.1065309606062232
60,126.25,0.0,126.25,-0.7547518357147993
61,126.25,0.0,126.25,0.21245785540828344
62,123.75,1.0,123.75,1.0
63,123.75,2.5,123.75,2.5
64,124.0,3.0,124.0,3.0
65,124.0,1.0,124.0,1.0
66,121.5,0.0,121.5,0.454599996922731
67,121.5,0.0,121.5,-0.41527209887146554
68,120.75,0.0,120.75,-0.6170863800770334
69,120.75,0.0,120.75,-0.18753489090655506
70,120.0,0.0,120.0,0.47338986667364047
71,120.0,0.0,120.0,0.8964178747443956
72,119.25,0.0,119.25,0.8440794927280084
73,119.25,0.0,119.25,0.4390154550625347
74,118.75,0.0,118.75,0.058537531924891084
75,118.75,0.0,118.75,0.06851246442058212
76,119.75,0.5,119.75,0.5
77,119.75,1.0,119.75,1.0
78,122.0,2.0,122.0,2.0
79,122.0,2.0,122.0,2.0
80,121.25,0.5,121.25,0.5
81,121.25,0.0,121.25,-0.15475083534115264
82,121.5,0.0,121.5,-1.1558852055172952
83,121.5,0.0,121.5,-1.8400806266777057
84,122.25,0.0,122.25,-2.1532634979053284
85,122.25,0.0,122.25,-2.1246582276470747
86,122.25,0.0,122.25,-1.7229352497426458
87,122.25,0.0,122.25,-0.8605315538151572
88,119.5,0.5,119.5,0.5
89,119.5,1.5,119.5,1.5
90,119.0,3.0,119.0,3.0
91,119.0,3.5,119.0,3.5
92,117.75,3.0,117.75,3.0
93,117.75,1.0,117.75,1.0
94,117.75,0.5,117.75,0.5
95,116.0,0.5,116.0,0.5
96,116.0,0.0,116.0,0.17019558824050307
97,116.0,0.0,116.0,0.1487074317225492
98,115.0,0.0,115.0,-0.021902829262334222
99,117.0,0.0,117.0,-0.17200547759065898
100,117.0,0.0,117.0,0.11153749524975076
101,117.0,1.0,117.0,1.0
102,117.0,2.5,117.0,2.5
103,117.0,4.0,117.0,4.0
104,115.5,5.0,115.5,5.0
105,115.5,5.0,115.5,5.0
106,115.0,3.5,115.0,3.5
107,115.0,3.0,115.0,3.0
108,116.0,2.5,116.0,2.5
109,121.0,2.5,121.0,2.5
