seconds,FHR,UC,FHR_KNN,UC_KNN
0,144.25,35.0,144.25,35.0
1,144.25,36.0,144.25,36.0
2,141.75,37.0,141.75,37.0
3,141.75,37.5,141.75,37.5
4,142.0,37.5,142.0,37.5
5,142.0,36.0,142.0,36.0
6,139.5,35.0,139.5,35.0
7,139.75,35.0,139.75,35.0
8,139.75,35.0,139.75,35.0
9,139.5,35.0,139.5,35.0
10,139.5,35.5,139.5,35.5
11,140.75,36.5,140.75,36.5
12,140.0,36.5,140.0,36.5
13,140.0,37.0,140.0,37.0
14,140.25,36.0,140.25,36.0
15,140.25,35.0,140.25,35.0
16,140.0,34.5,140.0,34.5
17,140.75,34.0,140.75,34.0
18,140.75,34.5,140.75,34.5
19,141.5,35.0,141.5,35.0
20,141.5,35.5,141.5,35.5
21,142.75,35.5,142.75,35.5
22,142.75,36.0,142.75,36.0
23,142.0,35.5,142.0,35.5
24,142.0,34.0,142.0,34.0
25,142.0,34.0,142.0,34.0
26,142.75,34.0,142.75,34.0
27,142.75,35.0,142.75,35.0
28,142.75,36.0,142.75,36.0
29,142.5,36.0,142.5,36.0
30,142.5,37.0,142.5,37.0
31,143.0,37.0,143.0,37.0
32,143.0,37.0,143.0,37.0
33,141.5,37.5,141.5,37.5
34,141.0,38.0,141.0,38.0
35,141.0,37.5,141.0,37.5
36,141.5,38.0,141.5,38.0
37,141.5,38.5,141.5,38.5
38,142.75,38.5,142.75,38.5
39,143.25,38.5,143.25,38.5
40,143.25,38.0,143.25,38.0
41,145.0,38.5,145.0,38.5
42,145.0,38.0,145.0,38.0
43,145.75,37.5,145.75,37.5
44,145.0,37.0,145.0,37.0
45,145.0,36.5,145.0,36.5
46,145.25,36.0,145.25,36.0
47,145.75,35.5,145.75,35.5
48,145.75,35.5,145.75,35.5
49,145.5,35.0,145.5,35.0
50,145.5,35.0,145.5,35.0
51,146.25,35.0,146.25,35.0
52,146.25,35.5,146.25,35.5
53,145.0,35.5,145.0,35.5
54,146.25,35.5,146.25,35.5
55,146.25,35.5,146.25,35.5
56,146.0,35.5,146.0,35.5
57,145.0,36.0,145.0,36.0
58,145.0,37.0,145.0,37.0
59,146.25,37.0,146.25,37.0
60,146.25,38.0,146.25,38.0
61,146.25,37.0,146.25,37.0
62,147.75,37.0,147.75,37.0
63,147.75,37.0,147.75,37.0
64,149.5,37.5,149.5,37.5
65,149.5,38.0,149.5,38.0
66,149.25,38.0,149.25,38.0
67,149.0,38.0,149.0,38.0
68,149.0,38.5,149.0,38.5
69,148.5,38.5,148.5,38.5
70,148.5,38.0,148.5,38.0
71,148.5,37.0,148.5,37.0
72,148.75,36.5,148.75,36.5
73,148.75,36.5,148.75,36.5
74,147.75,37.0,147.75,37.0
75,147.25,37.5,147.25,37.5
76,147.25,37.5,147.25,37.5
77,147.0,36.0,147.0,36.0
78,147.0,35.0,147.0,35.0
79,144.25,34.5,144.25,34.5
80,145.0,35.0,145.0,35.0
81,145.0,35.5,145.0,35.5
82,144.5,35.5,144.5,35.5
83,144.5,35.0,144.5,35.0
84,144.5,33.5,144.5,33.5
85,145.0,33.5,145.0,33.5
86,145.0,33.5,145.0,33.5
87,145.0,34.0,145.0,34.0
88,145.0,34.5,145.0,34.5
89,144.0,35.5,144.0,35.5
90,143.5,35.0,143.5,35.0
91,143.5,33.5,143.5,33.5
92,147.25,33.0,147.25,33.0
93,147.0,33.0,147.0,33.0
94,147.0,33.5,147.0,33.5
95,146.25,34.0,146.25,34.0
96,146.25,34.5,146.25,34.5
97,147.0,35.0,147.0,35.0
98,147.25,34.5,147.25,34.5
99,147.25,33.0,147.25,33.0
100,146.75,32.5,146.75,32.5
101,146.75,32.5,146.75,32.5
102,148.0,33.0,148.0,33.0
103,147.5,33.5,147.5,33.5
104,147.5,34.0,147.5,34.0
105,146.5,34.5,146.5,34.5
106,148.5,33.5,148.5,33.5
107,148.5,32.5,148.5,32.5
108,145.75,32.0,145.75,32.0
109,145.75,32.0,145.75,32.0
110,147.25,32.5,147.25,32.5
111,147.75,33.0,147.75,33.0
112,147.75,33.5,147.75,33.5
113,147.0,33.0,147.0,33.0
114,147.0,32.5,147.0,32.5
115,147.5,31.5,147.5,31.5
116,146.0,31.5,146.0,31.5
117,146.0,32.0,146.0,32.0
118,146.5,32.5,146.5,32.5
119,146.5,33.0,146.5,33.0
120,145.5,32.5,145.5,32.5
121,145.0,31.5,145.0,31.5
122,145.0,31.0,145.0,31.0
123,144.75,31.0,144.75,31.0
124,144.75,31.5,144.75,31.5
125,146.0,31.5,146.0,31.5
126,144.5,32.5,144.5,32.5
127,144.5,31.5,144.5,31.5
128,144.5,31.0,144.5,31.0
129,143.5,30.5,143.5,30.5
130,143.5,30.5,143.5,30.5
131,145.25,31.0,145.25,31.0
132,145.25,31.5,145.25,31.5
133,143.5,31.5,143.5,31.5
134,143.5,32.0,143.5,32.0
135,143.25,31.0,143.25,31.0
136,143.25,30.5,143.25,30.5
137,143.25,30.0,143.25,30.0
138,143.25,30.5,143.25,30.5
139,144.0,30.0,144.0,30.0
140,144.0,30.5,144.0,30.5
141,144.75,30.0,144.75,30.0
142,144.75,30.5,144.75,30.5
143,146.75,31.0,146.75,31.0
144,147.0,30.5,147.0,30.5
145,147.0,30.0,147.0,30.0
146,145.0,29.5,145.0,29.5
147,145.0,29.5,145.0,29.5
148,145.25,29.5,145.25,29.5
149,147.0,30.0,147.0,30.0
150,147.0,31.0,147.0,31.0
151,147.0,31.0,147.0,31.0
152,147.0,30.5,147.0,30.5
153,146.5,30.0,146.5,30.0
154,142.25,29.5,142.25,29.5
155,142.25,29.5,142.25,29.5
156,145.0,29.5,145.0,29.5
157,145.0,30.0,145.0,30.0
158,145.0,30.0,145.0,30.0
159,143.75,29.5,143.75,29.5
160,143.75,29.0,143.75,29.0
161,142.25,28.5,142.25,28.5
162,142.25,28.5,142.25,28.5
163,142.75,28.5,142.75,28.5
164,142.75,28.5,142.75,28.5
165,142.75,28.0,142.75,28.0
166,143.25,28.0,143.25,28.0
167,143.25,28.0,143.25,28.0
168,143.25,28.0,143.25,28.0
169,142.5,28.5,142.5,28.5
170,142.5,28.0,142.5,28.0
171,142.25,29.0,142.25,29.0
172,142.25,29.0,142.25,29.0
173,143.5,29.5,143.5,29.5
174,144.5,30.0,144.5,30.0
175,144.5,30.5,144.5,30.5
176,143.5,30.5,143.5,30.5
177,143.5,31.0,143.5,31.0
178,145.75,31.5,145.75,31.5
179,145.75,31.5,145.75,31.5
180,145.75,31.0,145.75,31.0
181,146.5,30.5,146.5,30.5
182,146.5,31.0,146.5,31.0
183,148.75,31.5,148.75,31.5
184,147.25,32.5,147.25,32.5
185,147.25,32.5,147.25,32.5
186,146.75,30.5,146.75,30.5
187,148.0,30.0,148.0,30.0
188,148.0,29.5,148.0,29.5
189,150.0,30.0,150.0,30.0
190,150.0,30.5,150.0,30.5
191,150.75,30.5,150.75,30.5
192,151.0,30.5,151.0,30.5
193,151.0,31.0,151.0,31.0
194,150.0,30.5,150.0,30.5
195,148.5,28.5,148.5,28.5
196,148.5,28.5,148.5,28.5
197,149.0,28.5,149.0,28.5
198,149.0,28.0,149.0,28.0
199,148.5,28.5,148.5,28.5
200,146.25,28.5,146.25,28.5
201,146.25,29.0,146.25,29.0
202,146.25,29.0,146.25,29.0
203,145.75,29.0,145.75,29.0
204,145.75,28.0,145.75,28.0
205,145.0,27.0,145.0,27.0
206,145.0,27.0,145.0,27.0
207,145.5,27.0,145.5,27.0
208,145.5,27.0,145.5,27.0
209,145.5,27.0,145.5,27.0
210,143.75,27.5,143.75,27.5
211,143.75,28.0,143.75,28.0
212,143.5,28.0,143.5,28.0
213,145.0,28.0,145.0,28.0
214,145.0,26.5,145.0,26.5
215,144.75,26.5,144.75,26.5
216,144.75,26.5,144.75,26.5
217,145.5,26.0,145.5,26.0
218,145.75,26.0,145.75,26.0
219,145.75,26.5,145.75,26.5
220,144.75,26.5,144.75,26.5
221,144.75,27.0,144.75,27.0
222,145.5,27.0,145.5,27.0
223,146.75,26.5,146.75,26.5
224,146.75,26.0,146.75,26.0
225,145.0,26.0,145.0,26.0
226,145.0,25.5,145.0,25.5
227,145.75,25.5,145.75,25.5
228,146.25,25.5,146.25,25.5
229,146.25,25.5,146.25,25.5
230,144.0,26.0,144.0,26.0
231,144.0,26.0,144.0,26.0
232,145.0,26.0,145.0,26.0
233,145.25,25.5,145.25,25.5
234,145.25,25.5,145.25,25.5
235,144.0,25.0,144.0,25.0
236,144.0,25.0,144.0,25.0
237,144.25,25.0,144.25,25.0
238,143.25,25.0,143.25,25.0
239,143.25,25.0,143.25,25.0
240,143.25,25.0,143.25,25.0
241,143.25,25.5,143.25,25.5
242,143.25,25.5,143.25,25.5
243,143.75,25.5,143.75,25.5
244,143.75,25.0,143.75,25.0
245,144.0,24.5,144.0,24.5
246,144.0,24.5,144.0,24.5
247,146.0,24.5,146.0,24.5
248,146.25,24.5,146.25,24.5
249,146.25,24.5,146.25,24.5
250,147.25,24.5,147.25,24.5
251,145.25,24.5,145.25,24.5
252,145.25,24.5,145.25,24.5
253,146.5,25.0,146.5,25.0
254,146.5,25.0,146.5,25.0
255,147.0,25.0,147.0,25.0
256,146.75,24.5,146.75,24.5
257,146.75,24.0,146.75,24.0
258,147.75,24.0,147.75,24.0
259,147.75,24.0,147.75,24.0
260,147.25,24.0,147.25,24.0
261,148.0,24.0,148.0,24.0
262,148.0,24.5,148.0,24.5
263,146.75,24.5,146.75,24.5
264,147.5,24.5,147.5,24.5
265,147.5,24.5,147.5,24.5
266,148.0,24.0,148.0,24.0
267,148.0,24.0,148.0,24.0
268,148.75,24.0,148.75,24.0
269,148.25,24.0,148.25,24.0
270,148.25,24.0,148.25,24.0
271,147.5,24.0,147.5,24.0
272,147.5,24.0,147.5,24.0
273,146.25,24.5,146.25,24.5
274,146.5,24.5,146.5,24.5
275,146.5,25.0,146.5,25.0
276,146.25,24.5,146.25,24.5
277,146.25,24.0,146.25,24.0
278,146.0,24.0,146.0,24.0
279,147.25,24.0,147.25,24.0
280,147.25,24.0,147.25,24.0
281,146.0,24.0,146.0,24.0
282,146.0,24.0,146.0,24.0
283,146.0,23.5,146.0,23.5
284,146.0,23.5,146.0,23.5
285,146.0,23.5,146.0,23.5
286,146.0,23.5,146.0,23.5
287,145.0,24.0,145.0,24.0
288,145.0,24.0,145.0,24.0
289,146.25,24.5,146.25,24.5
290,146.25,24.5,146.25,24.5
291,145.25,24.0,145.25,24.0
292,147.75,24.0,147.75,24.0
293,147.75,24.0,147.75,24.0
294,148.5,24.0,148.5,24.0
295,147.5,24.5,147.5,24.5
296,147.5,25.0,147.5,25.0
297,147.75,25.5,147.75,25.5
298,147.75,25.0,147.75,25.0
299,148.25,24.5,148.25,24.5
300,149.25,24.5,149.25,24.5
301,149.25,24.5,149.25,24.5
302,148.0,24.5,148.0,24.5
303,148.0,24.5,148.0,24.5
304,147.75,25.5,147.75,25.5
305,146.25,25.5,146.25,25.5
306,146.25,26.0,146.25,26.0
307,145.5,25.5,145.5,25.5
308,145.5,25.5,145.5,25.5
309,144.5,25.5,144.5,25.5
310,144.5,25.5,144.5,25.5
311,144.5,26.0,144.5,26.0
312,144.5,26.0,144.5,26.0
313,144.5,26.5,144.5,26.5
314,144.0,26.5,144.0,26.5
315,144.25,27.0,144.25,27.0
316,144.25,27.5,144.25,27.5
317,143.25,28.0,143.25,28.0
318,143.25,28.5,143.25,28.5
319,143.5,28.5,143.5,28.5
